Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
110000115,423323,432051,1,01-Jan-11,200,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
110000165,436292,434793,2,01-Jan-11,315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,39,Taxi/Private hire car
110000165,436292,434793,2,01-Jan-11,315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Taxi/Private hire car
110000399,426469,435290,4,01-Jan-11,710,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,Car
110000399,426469,435290,4,01-Jan-11,710,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,42,Car
110000399,426469,435290,4,01-Jan-11,710,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,39,Car
110001249,421718,440795,1,01-Jan-11,542,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car
110001429,425053,433342,1,01-Jan-11,415,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,21,Taxi/Private hire car
110019882,430002,434151,2,01-Jan-11,324,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,34,Car
110070158,433374,437248,1,02-Jan-11,2205,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Car
110003033,431792,435081,2,03-Jan-11,2105,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,30,Car
110003033,431792,435081,2,03-Jan-11,2105,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,27,Car
110003823,430264,434843,1,04-Jan-11,855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,92,Car
110004171,429118,430624,2,04-Jan-11,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,68,Car
110004171,429118,430624,2,04-Jan-11,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car
110004357,440175,433413,2,04-Jan-11,1725,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,14,Car
110004357,440175,433413,2,04-Jan-11,1725,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,54,Car
110004493,438559,433800,2,04-Jan-11,2003,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,41,Car
110011578,427194,433519,1,04-Jan-11,1257,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,72,Car
110005266,423820,434297,6,05-Jan-11,735,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car
110005266,423820,434297,6,05-Jan-11,735,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
110005266,423820,434297,6,05-Jan-11,735,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car
110005266,423820,434297,6,05-Jan-11,735,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,24,Car
110006003,431884,435681,1,05-Jan-11,1609,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15,Car
