Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,
130021591,426983,433434,3,15-Jan-13,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Car
130021629,424366,445442,2,15-Jan-13,1640,A,Frost / Ice,Darkness: street lights present and lit,Other,2,Passenger,Slight,Female,78,Car
130021704,424481,435632,2,13-Jan-13,1345,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,34,Motorcycle over 125cc and up to 500cc
130022047,430284,432421,1,15-Jan-13,1313,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,47,Car
130023385,430374,433485,1,16-Jan-13,2015,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Male,65,Bus or coach (17 or more passenger seats)
130023395,429794,433923,2,16-Jan-13,2100,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,1,Driver,Slight,Male,30,Car
130023395,429794,433923,2,16-Jan-13,2100,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,1,Driver,Slight,Female,32,Car
130023631,433157,435244,2,16-Jan-13,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,26,Car
130023631,433157,435244,2,16-Jan-13,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,70,Car
130023631,433157,435244,2,16-Jan-13,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,60,Car
130024157,436252,435822,2,16-Jan-13,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,39,Car
130025429,425888,429880,2,18-Jan-13,710,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
130025839,434857,428434,1,18-Jan-13,1250,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,82,Car
130026506,430877,433880,1,18-Jan-13,2100,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,1,Driver,Slight,Male,27,Car
130026506,430877,433880,1,18-Jan-13,2100,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,2,Passenger,Slight,Male,20,Car
130028329,434813,427913,1,20-Jan-13,1,Unclassified,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,25,Car
130028329,434813,427913,1,20-Jan-13,1,Unclassified,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,38,Car
130028329,434813,427913,1,20-Jan-13,1,Unclassified,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,27,Car
130028445,424128,444004,2,20-Jan-13,1044,A,Frost / Ice,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
130029418,431857,437833,1,19-Jan-13,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,42,Car
130029491,426701,429825,1,21-Jan-13,1151,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,27,Car
130029491,426701,429825,1,21-Jan-13,1151,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,1,Car
130029972,420668,440755,3,21-Jan-13,1539,Unclassified,Snow,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Car
130030230,426510,433865,2,21-Jan-13,2125,Unclassified,Snow,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,35,Car
130031334,418962,446446,1,22-Jan-13,1615,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,8,Car
130031371,431481,435005,7,22-Jan-13,1430,Unclassified,Snow,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,33,Car
09G1050,430995,424606,2,16-Sep-13,1535,Motorway,Dry,Daylight: street lights present,Unknown,1,Driver,Slight,Male,65,Car
0A41585,432227,427060,1,04-Oct-13,1942,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,56,Car
0A41585,432227,427060,1,04-Oct-13,1942,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,52,Car
0AB0817,431911,428150,3,11-Oct-13,1404,Motorway,Dry,Daylight: street lights present,Other,1,Driver,Slight,Male,39,Car
0AB0817,431911,428150,3,11-Oct-13,1404,Motorway,Dry,Daylight: street lights present,Other,1,Driver,Serious,Male,38,Car
